title,genres,overview
Seven Brides for Seven Brothers,"Comedy, Drama, Western, Music","Things are different for the Pontipee men now that big brother Adam's fetched a bride and brought her to their cabin. Indeed, the unwed brothers are so inspired they raid the town and carry off brides of their own!"
Sharpe's Eagle,"Action, Adventure, History, War","Sharpe is a Captain saddled with the South Essex, a battalion run by incompetents and filled with soldiers who have never been in battle. When the South Essex loses its colours (its regimental flag), Sharpe vows to save the honor of the regiment by capturing a French Imperial standard: an eagle."
Blue Valentine,"Drama, Romance","Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage."
All the Wrong Reasons,"Comedy, Drama","An ensemble film about four everyday people: a store manager, a security guard, a fire fighter and a clerk who struggle in the aftermath of trauma."
Killer Force,"Action, Thriller","Head of company security, Harry Webb, fears that a diamond theft is about to take place at their major mining complex deep in the desert. He quickly manages to become very unpopular, particularly with Claire Chambers, a celebrated cover girl, daughter of the mine administrator. She is visiting the man she loves, Mike Bradley, who is responsible for security at the mine. Nelson, the mine administrator, gives Bradley a curious mission - to steal a diamond. He wants to implicate Bradley in order to bring him into contact with a certain Lewis who is preparing to rob the mine with the aid of a group of mercanaries and a local accessory known as Father Christmas. Webb, not being informed of the deceit, relentlessly pursues Bradley, who is contacted by Lewis. With the mercanaries in the process of penetrating the mine. Bradley reveals himself to be Father Christmas, the organiser of the entire operation..."
Antares,Drama,"A deadly car crash sets off three parallel stories of women at crisis points, faltering behind the doors of the same, plain Vienna apartment block."
Left Luggage,Drama,"While escaping from Nazis during the WWII, a Jewish man dug suitcases full of things dear to his heart in the ground two. The war deprived him of his family, and afterwards he endlessly turns over the soil of Antwerp to find the suitcases, which makes him look obsessed. He keeps checking old maps and keeps digging, trying to find, in fact, those he lost. His daughter Chaya is a beautiful modern girl looking for a part-time job. She finds a place as a nanny in the strictly observant Chassidic family with many children, although her secular manners clearly fly in the face of many commandments. One of the reasons she is accepted is that mother of the family is absolutely overburdened by the household, so she stays despite the resistance of the father, normally - an indisputable authority in the family. She develops a special bond with the youngest of the boys, four-year old Simcha, so far incapable of speaking."
Wild Roomies,"Comedy, Drama, Romance","After his last girlfriend slept with his last roommate, Reno Rizzolla moves to L.A. with his new girlfriend... and chaos ensues when the debt on the house forces him to get roommates."
The Straits of Love and Hate,Unknown,"The most complex film of this period is perhaps the least known: The Straits of Love and Hate (1937), loosely inspired by Tolstoy’s much-filmed Resurrection, which had been one of the staples of Japanese film adaptation in the silent era. Here the balance between distance and involvement is perfectly achieved – one sympathizes profoundly with the ill-treated heroine while remaining aware of the social conditions which create her plight. In fact, of all Mizoguchi’s prewar films, this is the most positive in its feminism: his heroine is not doomed, but permitted to rebel successfully against the cruel patriarch who seeks to separate her from her child."
Trapped in the Closet: Chapters 13-22,"Music, Crime, Comedy",The second half of R. Kelly's unfinished hip hop opera
Private Property,Drama,"Since Luc granted a divorce to Pascale ten years ago, he paid generous alimony and left a fine country house as long as their twin sons remain at home. Pascale always acted as if she was the provider and head of the household, even now the inseparable brothers are twenty. But she started a secret affair with Flemish neighbor, cook Jan, whose ambition is to start a restaurant and B&amp;B with her. As the boys learn she wants to cancel her job and sell the house for the project, college-man Thierry, who has a steady girl Anne, naturally refuses to let her spend dad's money meant for them. Gentler François, content to remain a handyman, would consider letting her and maybe working in the 'family business'. This causes trouble, even after Pascale moves out to Gerda's indefinitely, leading to tragedy."
Let My Puppets Come,"Comedy, Music","The three chief executives of Creative Concepts Systems &amp; Procedures Brothers Unlimited Inc. of New York are in hot water as their latest venture has been a huge failure, and their Mafia investor, ""Mr. Big"", wants his $500,000 within 24 hours, or else. So Jimmy, a courier who over hears their plight, suggests they make a porno movie as an easy way of getting back the lost money."
CHiPs '99,"Action, Crime, TV Movie","Ponch (Erik Estrada) has returned to the police force, and is determined to help his friend Jon (Larry Wilcox) in investigating various car thefts."
Robinson in Space,"Documentary, Foreign","Robinson is commissioned to investigate the unspecified ""problem of England."" The narrator describes his seven excursions, with the unseen Robinson, around the country. They mainly concentrate on ports, power stations, prisons, and manufacturing plants, but they also bring in various literary connections, as well as a few conventional landscapes. Written by Will Gilbert"
